Lon,Lat,date,geometry
-119.875,48.129,718,"c(-119.875, 48.129)"
-119.817,48.136,718,"c(-119.817, 48.136)"
-119.697,48.141,718,"c(-119.697, 48.141)"
-120.076,48.143,718,"c(-120.076, 48.143)"
-120.018,48.151,718,"c(-120.018, 48.151)"
-120.079,48.153,718,"c(-120.079, 48.153)"
-119.747,48.155,718,"c(-119.747, 48.155)"
-119.884,48.158,718,"c(-119.884, 48.158)"
-119.901,48.166,718,"c(-119.901, 48.166)"
-119.706,48.171,718,"c(-119.706, 48.171)"
-119.738,48.177,718,"c(-119.738, 48.177)"
-119.799,48.179,718,"c(-119.799, 48.179)"
-119.936,48.182,718,"c(-119.936, 48.182)"
-119.953,48.19,718,"c(-119.953, 48.19)"
-119.714,48.2,718,"c(-119.714, 48.2)"
-120.146,48.225,718,"c(-120.146, 48.225)"
-119.828,48.226,718,"c(-119.828, 48.226)"
-119.798,48.23,718,"c(-119.798, 48.23)"
-119.845,48.234,718,"c(-119.845, 48.234)"
-119.725,48.239,718,"c(-119.725, 48.239)"
-119.807,48.259,718,"c(-119.807, 48.259)"
-119.853,48.263,718,"c(-119.853, 48.263)"
-119.915,48.265,718,"c(-119.915, 48.265)"
-119.751,48.276,718,"c(-119.751, 48.276)"
-119.95,48.281,718,"c(-119.95, 48.281)"
-119.789,48.302,718,"c(-119.789, 48.302)"
-119.838,48.316,718,"c(-119.838, 48.316)"
-119.99,48.316,718,"c(-119.99, 48.316)"
-119.885,48.32,718,"c(-119.885, 48.32)"
-119.961,48.32,718,"c(-119.961, 48.32)"
-119.893,48.349,718,"c(-119.893, 48.349)"
-119.899,48.369,718,"c(-119.899, 48.369)"
-119.963,48.381,718,"c(-119.963, 48.381)"
-120.095,48.414,718,"c(-120.095, 48.414)"
-119.983,48.449,718,"c(-119.983, 48.449)"
-120.03,48.453,718,"c(-120.03, 48.453)"
-120.628,48.313,718,"c(-120.628, 48.313)"
-119.883,47.945,718,"c(-119.883, 47.945)"
-119.912,47.992,718,"c(-119.912, 47.992)"
-120.833,47.696,718,"c(-120.833, 47.696)"
-120.819,47.698,718,"c(-120.819, 47.698)"
-119.753,48.124,718,"c(-119.753, 48.124)"
-119.773,48.142,718,"c(-119.773, 48.142)"
-120.108,48.149,718,"c(-120.108, 48.149)"
-119.808,48.158,718,"c(-119.808, 48.158)"
-119.779,48.161,718,"c(-119.779, 48.161)"
-119.799,48.179,718,"c(-119.799, 48.179)"
-119.784,48.181,718,"c(-119.784, 48.181)"
-119.831,48.185,718,"c(-119.831, 48.185)"
-119.682,48.194,718,"c(-119.682, 48.194)"
-120.155,48.204,718,"c(-120.155, 48.204)"
-119.807,48.208,718,"c(-119.807, 48.208)"
-120.172,48.212,718,"c(-120.172, 48.212)"
-119.985,48.297,718,"c(-119.985, 48.297)"
-119.818,48.298,718,"c(-119.818, 48.298)"
-119.85,48.304,718,"c(-119.85, 48.304)"
-119.835,48.306,718,"c(-119.835, 48.306)"
-120.005,48.315,718,"c(-120.005, 48.315)"
-120.022,48.322,718,"c(-120.022, 48.322)"
-120.057,48.338,718,"c(-120.057, 48.338)"
-119.914,48.367,718,"c(-119.914, 48.367)"
-119.961,48.371,718,"c(-119.961, 48.371)"
-119.931,48.375,718,"c(-119.931, 48.375)"
-119.969,48.4,718,"c(-119.969, 48.4)"
-119.975,48.42,718,"c(-119.975, 48.42)"
-119.978,48.43,718,"c(-119.978, 48.43)"
-120.089,48.446,718,"c(-120.089, 48.446)"
-120.092,48.455,718,"c(-120.092, 48.455)"
-120.065,48.469,718,"c(-120.065, 48.469)"
-120.013,48.03,718,"c(-120.013, 48.03)"
-120.048,48.046,718,"c(-120.048, 48.046)"
-120.071,48.073,718,"c(-120.071, 48.073)"
-120.074,48.083,718,"c(-120.074, 48.083)"
-120.091,48.091,718,"c(-120.091, 48.091)"
-120.109,48.098,718,"c(-120.109, 48.098)"
-119.842,48.224,718,"c(-119.842, 48.224)"
-119.924,48.244,718,"c(-119.924, 48.244)"
-119.894,48.248,718,"c(-119.894, 48.248)"
-119.865,48.252,718,"c(-119.865, 48.252)"
-120.014,48.293,718,"c(-120.014, 48.293)"
-120.017,48.303,718,"c(-120.017, 48.303)"
-120.161,48.173,718,"c(-120.161, 48.173)"
-120.117,48.178,718,"c(-120.117, 48.178)"
-120.088,48.182,718,"c(-120.088, 48.182)"
-119.962,48.219,718,"c(-119.962, 48.219)"
-120.055,48.227,718,"c(-120.055, 48.227)"
-120.014,48.242,718,"c(-120.014, 48.242)"
-120.124,48.461,718,"c(-120.124, 48.461)"
-120.091,48.506,718,"c(-120.091, 48.506)"
-120.6,48.023,718,"c(-120.6, 48.023)"
-120.117,48.128,718,"c(-120.117, 48.128)"
-120.126,48.157,718,"c(-120.126, 48.157)"
-120.143,48.165,718,"c(-120.143, 48.165)"
-120.181,48.19,718,"c(-120.181, 48.19)"
-120.121,48.401,718,"c(-120.121, 48.401)"
-120.115,48.432,718,"c(-120.115, 48.432)"
-120.024,48.434,718,"c(-120.024, 48.434)"
-120.092,48.455,718,"c(-120.092, 48.455)"
-120.097,48.475,718,"c(-120.097, 48.475)"
-120.103,48.494,718,"c(-120.103, 48.494)"
-120.816,47.638,718,"c(-120.816, 47.638)"
-120.772,47.644,718,"c(-120.772, 47.644)"
-120.743,47.648,718,"c(-120.743, 47.648)"
-120.79,47.652,718,"c(-120.79, 47.652)"
-120.775,47.654,718,"c(-120.775, 47.654)"
-120.746,47.658,718,"c(-120.746, 47.658)"
-120.764,47.665,718,"c(-120.764, 47.665)"
