X,Y
-120.9078139,47.2715058
-120.9071244,47.2715107
-120.9096428,47.2715381
-120.9079769,47.2715559
-120.9069951,47.2715931
-120.9072385,47.2715931
-120.9076755,47.2715983
-120.9080048,47.2716475
-120.9071093,47.2716755
-120.9077034,47.2716898
-120.9096064,47.2722829
-120.9097231,47.2723383
-120.9094322,47.2724521
-120.9095488,47.2725074
-120.9109051,47.272638
-120.9108055,47.2726759
-120.9110023,47.2727558
-120.9107039,47.2727903
-120.9109027,47.2727937
-120.910818,47.2728277
-120.9106463,47.2728711
-120.9107604,47.2729085
-120.9104369,47.2736826
-120.910378,47.2737029
-120.9105573,47.2738433
-120.9104984,47.2738636
-120.913692,47.2767561
-120.9136252,47.2768188
-120.9138576,47.2768373
-120.9137908,47.2769
-120.9128991,47.2770628
-120.9128115,47.2770758
-120.9129233,47.2771375
-120.9128356,47.2771505
-120.913193,47.2772106
-120.9132965,47.277225
-120.9134095,47.2772454
-120.9135408,47.2772602
-120.9131578,47.2773269
-120.9132613,47.2773414
-120.9133656,47.2774258
-120.9134968,47.2774405
-120.9161549,47.2777868
-120.9163078,47.2778889
-120.915987,47.2779024
-120.9161399,47.2780046
-120.9161047,47.2781591
-120.9160086,47.2781873
-120.9162085,47.2783218
-120.9161125,47.27835
-120.9265992,47.2800999
-120.9266936,47.2801133
-120.9259517,47.2801325
-120.9257661,47.2801375
-120.9256241,47.2801658
-120.9254839,47.2801687
-120.9265687,47.2801992
-120.9266632,47.2802125
-120.9259594,47.2802651
-120.9257738,47.2802701
-120.9256299,47.2802917
-120.9254896,47.2802946
-120.9286416,47.2806208
-120.9285087,47.280622
-120.925781,47.2807415
-120.9286448,47.280779
-120.9285119,47.2807802
-120.9261175,47.280784
-120.9257484,47.2808602
-120.9260849,47.2809027
-120.9248039,47.2811849
-120.9250825,47.2812351
-120.9247601,47.281297
-120.9293492,47.2813105
-120.9250387,47.2813472
-120.9292233,47.2813615
-120.9295949,47.281404
-120.9294371,47.2814104
-120.9294527,47.281461
-120.9293111,47.2814614
-120.9296915,47.281515
-120.9270582,47.2815584
-120.9273189,47.2815641
-120.9295493,47.281572
-120.9269173,47.2816118
-120.927503,47.2816185
-120.9271574,47.2816788
-120.9272135,47.2817283
-120.9270165,47.2817323
-120.9273977,47.2817827
-120.4029159,48.5945536
-120.4026825,48.5944527
-120.402758,48.5943763
-120.4029914,48.5944771
-120.4046113,48.5955211
-120.404495,48.5954092
-120.404653,48.5953373
-120.4047694,48.5954493
-120.4041956,48.5954747
-120.4041177,48.5954296
-120.4041772,48.5953847
-120.404255,48.5954299
-120.1994977,48.477313
-120.1993813,48.4772859
-120.1994369,48.4771811
-120.1995533,48.4772083
-120.1993867,48.4772383
-120.1992735,48.4772121
-120.1993266,48.4771113
-120.1994398,48.4771375
-120.199275,48.4771632
-120.1991595,48.4771388
-120.1992112,48.4770314
-120.1993266,48.4770558
-120.1991685,48.4770877
-120.1990571,48.4770622
-120.19910900000001,48.4769629
-120.1992204,48.4769885
-120.1987515,48.4764319
-120.1985595,48.4763948
-120.1984976,48.4763632
-120.19854,48.4762752
-120.1985984,48.4762822
-120.1988522,48.4763474
-120.1988087,48.4763839
-120.1993252,48.4782691
-120.1992107,48.4782573
-120.1992396,48.4781336
-120.1993541,48.4781454
-120.3240472,47.3613256
-120.3240026,47.3613705
-120.3240326,47.3613842
-120.3239599,47.3614574
-120.3239307,47.3614441
-120.3238552,47.3615201
-120.3239934,47.361583
-120.3240115,47.3615647
-120.3240458,47.3615803
-120.3240801,47.3615457
-120.3241017,47.3615555
-120.3241615,47.3614953
-120.3241424,47.3614866
-120.3241863,47.3614424
-120.3241562,47.361428600000004
-120.3241927,47.3613918
-120.3256308,47.3605077
-120.325561,47.3605782
-120.3256009,47.3605963
-120.3255647,47.3606327
-120.3256903,47.3606898
-120.3256618,47.3607186
-120.3257362,47.3607524
-120.3258413,47.3606463
-120.3257352,47.3605981
-120.3257922,47.3605406
-120.3256981,47.3604978
-120.3256704,47.3605257
-120.3270761,47.3595011
-120.3270421,47.3595738
-120.3270106,47.359567
-120.3269825,47.3596272
-120.3270083,47.3596327
-120.326969,47.3597167
-120.3270708,47.3597386
-120.3270865,47.359705
-120.3271286,47.3597141
-120.3271541,47.3596594
-120.3271156,47.3596511
-120.3271422,47.3595944
-120.3271872,47.3596041
-120.3272209,47.3595322
-120.3277091,47.3596974
-120.327549,47.3596521
-120.3274996,47.3597323
-120.3275608,47.3597496
-120.3275432,47.3597782
-120.3276421,47.3598061
-120.3280916,47.3589383
-120.3279218,47.3589081
-120.3279589,47.3588124
-120.3279129,47.3588042
-120.32793,47.3587604
-120.3279494,47.358715
-120.3280636,47.3587374
-120.3281559,47.3587566
-120.3281266,47.3588213
-120.3281684,47.35883
-120.3281535,47.3588628
-120.3281195,47.3588663
-120.32943,47.3581624
-120.3291628,47.3582155
-120.3292478,47.3584118
-120.3295147,47.3583593
-120.3293652,47.3586592
-120.329215,47.3587944
-120.3293602,47.3588684
-120.3294694,47.35877
-120.329424,47.3587468
-120.3294648,47.35871
-120.3287017,47.3590254
-120.3285743,47.3590601
-120.3285529,47.3590239
-120.328513,47.3590347
-120.3284852,47.3589878
-120.3285173,47.3589791
-120.3284735,47.3589053
-120.3286088,47.3588686
-120.3283772,47.3594041
-120.3283307,47.3595466
